bin_depth,time,U,V,W
3,2024-04-09 06:30:00,6.2,-4.9,-7.7
3,2024-04-09 07:00:00,3.6,-10.1,-5.2
3,2024-04-09 07:30:00,7.0,-12.5,-3.0
3,2024-04-09 08:00:00,19.6,-8.9,2.8
3,2024-04-09 08:30:00,0.3,5.3,5.2
3,2024-04-09 09:00:00,6.7,0.1,-12.6
3,2024-04-09 09:30:00,-5.7,-2.7,2.8
3,2024-04-09 10:00:00,26.6,10.5,-1.4
3,2024-04-09 10:30:00,6.4,-2.3,-1.0
3,2024-04-09 11:00:00,8.5,8.3,0.5
3,2024-04-09 11:30:00,28.0,6.2,-9.4
3,2024-04-09 12:00:00,30.9,10.1,-4.2
3,2024-04-09 12:30:00,39.3,17.4,-1.5
3,2024-04-09 13:00:00,35.6,8.1,-7.6
3,2024-04-09 13:30:00,44.0,21.0,1.2
3,2024-04-09 14:00:00,35.2,-2.1,-6.1
3,2024-04-09 14:30:00,44.3,4.0,2.2
3,2024-04-09 15:00:00,43.6,-2.2,-6.7
3,2024-04-09 15:30:00,29.4,-21.6,5.0
3,2024-04-09 16:00:00,26.6,-11.8,0.9
3,2024-04-09 16:30:00,40.2,-16.3,-6.0
3,2024-04-09 17:00:00,34.0,-12.2,0.3
3,2024-04-09 17:30:00,37.3,-6.1,-2.2
3,2024-04-09 18:00:00,30.6,-20.4,-4.4
3,2024-04-09 18:30:00,25.0,-17.5,-7.4
3,2024-04-09 19:00:00,41.7,-22.7,-16.8
3,2024-04-09 19:30:00,37.3,-20.1,-12.1
3,2024-04-09 20:00:00,26.8,-15.6,-3.3
3,2024-04-09 20:30:00,43.3,-22.1,-11.2
3,2024-04-09 21:00:00,50.7,-20.4,2.4
3,2024-04-09 21:30:00,43.1,-18.4,-6.6
3,2024-04-09 22:00:00,42.5,-22.0,-1.3
3,2024-04-09 22:30:00,44.7,-22.1,2.0
3,2024-04-09 23:00:00,54.4,-13.2,-2.2
3,2024-04-09 23:30:00,47.9,-13.5,-3.9
3,2024-04-10 00:00:00,51.6,-15.6,0.9
3,2024-04-10 00:30:00,56.5,-18.7,-1.3
3,2024-04-10 02:30:00,57.0,-19.0,-3.2
3,2024-04-10 03:00:00,48.4,-15.4,16.1
3,2024-04-10 03:30:00,53.4,-20.7,7.1
3,2024-04-10 04:00:00,29.5,-19.1,2.1
3,2024-04-10 04:30:00,29.3,-31.6,-2.8
3,2024-04-10 05:00:00,39.9,-34.9,-4.1
3,2024-04-10 05:30:00,34.8,-33.5,-3.9
3,2024-04-10 06:00:00,28.2,-28.1,-2.2
3,2024-04-10 06:30:00,36.0,-29.1,6.4
3,2024-04-10 07:00:00,28.3,-30.4,9.6
3,2024-04-10 07:30:00,19.7,-34.9,0.4
3,2024-04-10 08:00:00,28.6,-35.0,-1.3
3,2024-04-10 08:30:00,29.3,-32.3,-8.3
3,2024-04-10 09:00:00,24.0,-37.0,0.5
3,2024-04-10 09:30:00,33.8,-37.8,2.8
3,2024-04-10 10:00:00,16.2,-9.5,-0.1
3,2024-04-10 10:30:00,43.9,-16.9,-1.9
3,2024-04-10 11:00:00,62.1,-13.7,5.7
3,2024-04-10 11:30:00,54.8,-14.1,5.0
3,2024-04-10 12:30:00,48.6,-28.2,-4.8
3,2024-04-10 13:00:00,42.8,-27.7,3.4
3,2024-04-10 13:30:00,49.8,-15.0,-1.0
3,2024-04-10 14:00:00,48.0,-20.6,4.1
3,2024-04-10 14:30:00,48.0,-7.5,-6.0
3,2024-04-10 15:00:00,56.2,-18.1,-3.0
3,2024-04-10 15:30:00,54.6,-12.8,2.7
3,2024-04-10 16:00:00,51.9,-3.0,-6.6
3,2024-04-10 16:30:00,54.9,-5.3,-7.3
3,2024-04-10 17:00:00,43.8,-8.0,-4.4
3,2024-04-10 17:30:00,37.3,-6.0,-1.1
3,2024-04-10 18:00:00,32.3,-8.1,-6.2
3,2024-04-10 18:30:00,40.8,1.6,1.3
3,2024-04-10 19:00:00,41.6,16.5,-7.7
3,2024-04-10 19:30:00,36.1,13.8,-10.7
3,2024-04-10 20:00:00,32.3,-6.6,1.2
3,2024-04-10 20:30:00,33.6,-7.7,-1.2
3,2024-04-10 21:00:00,44.6,-2.8,-6.4
3,2024-04-10 21:30:00,43.0,-10.7,-5.8
3,2024-04-10 22:00:00,56.1,2.9,-9.6
3,2024-04-10 22:30:00,55.6,2.2,-3.4
3,2024-04-10 23:30:00,61.3,19.3,-2.2
3,2024-04-11 00:00:00,56.4,7.2,1.0
3,2024-04-11 00:30:00,51.5,11.7,-0.8
3,2024-04-11 01:00:00,54.8,9.6,-3.5
3,2024-04-11 01:30:00,52.0,17.2,4.4
3,2024-04-11 02:00:00,53.9,20.7,-11.5
3,2024-04-11 02:30:00,58.1,11.7,-0.9
3,2024-04-11 03:00:00,50.9,8.6,12.8
3,2024-04-11 03:30:00,44.3,-5.5,6.7
3,2024-04-11 04:00:00,44.4,5.7,-6.9
3,2024-04-11 04:30:00,28.4,0.6,2.1
3,2024-04-11 05:00:00,25.6,11.5,2.8
3,2024-04-11 05:30:00,24.4,11.0,7.8
3,2024-04-11 06:00:00,14.1,-0.2,3.8
3,2024-04-11 06:30:00,7.5,26.1,-2.6
3,2024-04-11 07:00:00,21.9,4.3,-12.4
3,2024-04-11 07:30:00,9.5,26.1,-4.1
3,2024-04-11 08:00:00,0.3,32.2,3.0
3,2024-04-11 08:30:00,7.5,16.8,-4.4
3,2024-04-11 09:00:00,4.2,30.4,5.5
3,2024-04-11 09:30:00,-15.0,22.9,2.3
3,2024-04-11 10:00:00,-11.9,15.3,-2.3
3,2024-04-11 10:30:00,-3.9,13.5,-6.6
3,2024-04-11 11:00:00,-20.6,11.2,-1.6
3,2024-04-11 11:30:00,-15.5,23.6,4.1
3,2024-04-11 12:00:00,-4.6,12.2,3.9
3,2024-04-11 12:30:00,-9.4,36.1,-5.3
3,2024-04-11 13:00:00,-19.3,25.1,0.8
3,2024-04-11 13:30:00,-18.6,27.2,3.2
3,2024-04-11 14:00:00,-19.7,24.1,2.5
3,2024-04-11 14:30:00,-12.7,22.4,-2.9
3,2024-04-11 15:00:00,-11.4,19.3,2.5
3,2024-04-11 15:30:00,-14.4,24.9,10.7
3,2024-04-11 16:00:00,-19.5,23.1,-14.9
3,2024-04-11 16:30:00,-20.8,20.2,-3.6
3,2024-04-11 17:00:00,-29.5,31.3,-5.4
3,2024-04-11 17:30:00,-28.1,38.8,3.0
3,2024-04-11 18:00:00,-22.1,30.6,5.5
3,2024-04-11 18:30:00,-25.7,22.5,-5.8
3,2024-04-11 19:00:00,-24.4,19.8,-8.4
3,2024-04-11 19:30:00,-22.7,29.2,-2.3
3,2024-04-11 20:00:00,-21.0,27.9,-0.8
3,2024-04-11 20:30:00,-25.5,20.5,-5.1
3,2024-04-11 21:00:00,-18.2,24.7,-5.7
3,2024-04-11 21:30:00,-23.0,17.1,-4.8
3,2024-04-11 22:00:00,-21.3,16.8,0.4
3,2024-04-11 22:30:00,-21.2,26.3,-5.2
3,2024-04-11 23:00:00,-23.6,18.3,-9.4
3,2024-04-11 23:30:00,-21.3,27.4,-5.1
3,2024-04-12 00:00:00,-17.0,19.2,-3.1
3,2024-04-12 00:30:00,-3.8,20.2,3.2
3,2024-04-12 01:00:00,-12.4,14.0,-2.4
3,2024-04-12 01:30:00,-6.0,9.0,2.9
3,2024-04-12 02:00:00,-5.4,3.6,-3.6
3,2024-04-12 02:30:00,-10.8,7.8,-5.5
3,2024-04-12 03:00:00,-0.4,6.6,-2.7
3,2024-04-12 03:30:00,-9.0,7.2,-0.8
3,2024-04-12 04:00:00,-24.1,3.9,0.1
3,2024-04-12 04:30:00,-22.6,3.3,-4.2
3,2024-04-12 05:00:00,-15.4,0.7,-5.3
3,2024-04-12 05:30:00,-16.6,-3.1,1.3
3,2024-04-12 06:00:00,-21.0,-0.5,-8.2
3,2024-04-12 06:30:00,-21.9,1.7,0.1
3,2024-04-12 07:00:00,-15.5,-2.9,-1.1
3,2024-04-12 07:30:00,-16.1,4.3,0.8
3,2024-04-12 08:00:00,-28.9,1.9,-3.2
3,2024-04-12 08:30:00,-9.9,3.6,-4.1
3,2024-04-12 09:00:00,-22.3,-2.3,-4.1
3,2024-04-12 09:30:00,-11.2,-0.6,-5.4
3,2024-04-12 10:00:00,-18.7,-2.6,-6.7
3,2024-04-12 10:30:00,-27.6,-3.4,-3.7
3,2024-04-12 11:00:00,-19.9,-4.1,-5.4
3,2024-04-12 11:30:00,-14.3,-4.5,8.0
3,2024-04-12 12:00:00,-16.4,2.1,1.8
3,2024-04-12 12:30:00,-6.5,-3.1,-3.1
3,2024-04-12 13:00:00,-12.0,-1.7,-5.0
3,2024-04-12 13:30:00,-9.1,-0.4,-6.6
3,2024-04-12 14:00:00,-15.4,3.0,-6.4
3,2024-04-12 14:30:00,-4.5,3.2,-5.2
3,2024-04-12 15:00:00,-7.7,-2.8,5.7
3,2024-04-12 15:30:00,-9.3,9.8,3.4
3,2024-04-12 16:00:00,1.2,-5.2,-8.2
3,2024-04-12 16:30:00,2.1,-10.6,-2.6
3,2024-04-12 17:00:00,-1.3,-2.3,5.5
3,2024-04-12 17:30:00,-1.7,0.6,-3.0
3,2024-04-12 18:00:00,-6.4,-3.3,4.5
3,2024-04-12 18:30:00,-4.6,-4.5,0.0
3,2024-04-12 19:00:00,-5.4,-8.7,3.2
3,2024-04-12 19:30:00,-3.6,-4.6,-4.4
3,2024-04-12 20:00:00,-5.7,-2.4,7.5
3,2024-04-12 20:30:00,-1.3,-4.2,-1.5
3,2024-04-12 21:00:00,-1.5,-5.6,-4.5
3,2024-04-12 21:30:00,-0.8,-3.8,-5.6
3,2024-04-12 22:00:00,-2.5,-3.8,0.3
3,2024-04-12 22:30:00,-1.6,-4.8,-0.7
3,2024-04-12 23:00:00,-0.4,-11.8,-10.4
3,2024-04-12 23:30:00,-4.1,-1.7,-4.1
3,2024-04-13 00:00:00,2.2,3.6,2.6
3,2024-04-13 00:30:00,-0.2,-3.0,1.9
3,2024-04-13 01:00:00,-1.5,1.7,0.8
3,2024-04-13 01:30:00,1.9,8.5,0.8
3,2024-04-13 02:00:00,6.1,3.3,-5.3
3,2024-04-13 02:30:00,11.5,3.6,-0.9
3,2024-04-13 03:00:00,2.2,-3.6,0.8
3,2024-04-13 03:30:00,8.1,-7.2,-0.2
3,2024-04-13 04:00:00,14.5,2.4,-5.9
3,2024-04-13 04:30:00,1.8,6.8,4.9
3,2024-04-13 05:00:00,9.6,3.1,-4.6
3,2024-04-13 05:30:00,2.2,-1.0,6.0
3,2024-04-13 06:00:00,4.3,-3.2,-2.2
3,2024-04-13 06:30:00,2.5,-7.5,-3.0
3,2024-04-13 07:00:00,-1.3,0.7,-8.6
3,2024-04-13 07:30:00,-2.0,4.4,-2.0
3,2024-04-13 08:00:00,-1.7,-0.7,-7.1
3,2024-04-13 08:30:00,-1.3,3.2,8.4
3,2024-04-13 09:00:00,3.1,2.5,3.9
3,2024-04-13 09:30:00,-6.8,-2.3,-3.1
3,2024-04-13 10:00:00,3.0,6.4,0.1
3,2024-04-13 10:30:00,-4.2,-0.4,-9.6
3,2024-04-13 11:00:00,-6.5,-4.7,-4.0
3,2024-04-13 11:30:00,-6.3,-2.9,0.0
3,2024-04-13 12:00:00,-9.3,-6.9,-2.7
3,2024-04-13 12:30:00,-4.9,-9.4,-6.5
3,2024-04-13 13:00:00,-2.8,-0.2,-2.0
3,2024-04-13 13:30:00,-5.9,-8.0,-10.5
3,2024-04-13 14:00:00,-1.9,-2.3,-2.6
3,2024-04-13 14:30:00,-3.7,-8.5,0.4
3,2024-04-13 15:00:00,1.8,-7.5,-6.6
3,2024-04-13 15:30:00,-3.6,-6.0,0.3
3,2024-04-13 16:00:00,-5.4,-6.7,-1.9
3,2024-04-13 16:30:00,-6.3,-11.5,-0.2
3,2024-04-13 17:00:00,-2.7,-5.8,-8.6
3,2024-04-13 17:30:00,-0.5,2.2,-4.5
3,2024-04-13 18:00:00,-7.6,0.1,3.5
3,2024-04-13 18:30:00,-2.1,-1.0,-4.6
3,2024-04-13 19:00:00,-5.3,-2.5,4.8
3,2024-04-13 19:30:00,-5.0,-10.3,-8.4
3,2024-04-13 20:00:00,-1.8,-5.3,-9.9
3,2024-04-13 20:30:00,-7.3,-0.2,1.2
3,2024-04-13 21:00:00,-8.7,-2.1,-9.1
3,2024-04-13 21:30:00,-3.1,-4.9,-0.4
3,2024-04-13 22:00:00,-8.2,-1.3,6.1
3,2024-04-13 22:30:00,-2.7,-7.2,-7.1
3,2024-04-13 23:00:00,-9.4,1.3,-11.1
3,2024-04-13 23:30:00,-8.0,-8.1,3.6
3,2024-04-14 00:00:00,-9.2,2.3,-2.7
3,2024-04-14 00:30:00,-7.3,1.2,-0.1
3,2024-04-14 01:00:00,-12.3,-5.1,-8.9
3,2024-04-14 01:30:00,4.4,-4.0,-11.0
3,2024-04-14 02:00:00,4.1,-0.7,2.1
3,2024-04-14 02:30:00,-7.1,-1.9,0.3
3,2024-04-14 03:00:00,2.1,3.4,7.6
3,2024-04-14 03:30:00,-3.7,3.6,-10.1
3,2024-04-14 04:00:00,-6.9,2.2,-13.6
3,2024-04-14 04:30:00,1.1,6.1,-5.0
3,2024-04-14 05:00:00,13.0,8.7,0.6
3,2024-04-14 05:30:00,2.3,8.7,-9.0
3,2024-04-14 06:00:00,-1.0,-1.0,-1.5
3,2024-04-14 06:30:00,6.7,7.4,-1.5
3,2024-04-14 07:00:00,0.6,8.0,1.9
3,2024-04-14 07:30:00,8.6,13.4,8.4
3,2024-04-14 08:00:00,2.1,1.7,1.8
3,2024-04-14 08:30:00,10.6,3.5,0.2
3,2024-04-14 09:00:00,-0.8,9.0,0.1
3,2024-04-14 09:30:00,14.7,12.5,-3.2
3,2024-04-14 10:00:00,9.9,0.0,-4.7
3,2024-04-14 10:30:00,7.7,4.5,-4.6
3,2024-04-14 11:00:00,0.5,8.0,12.4
3,2024-04-14 11:30:00,-1.7,11.0,-2.9
3,2024-04-14 12:00:00,3.5,-0.1,-2.4
3,2024-04-14 12:30:00,-1.3,6.1,3.4
3,2024-04-14 13:00:00,2.8,1.0,-1.6
3,2024-04-14 13:30:00,-8.2,1.1,2.6
3,2024-04-14 14:00:00,-1.2,5.2,0.4
3,2024-04-14 14:30:00,9.2,1.0,-5.6
3,2024-04-14 15:00:00,6.2,2.0,-13.9
3,2024-04-14 15:30:00,-3.3,-0.5,-8.3
3,2024-04-14 16:00:00,1.8,1.5,3.4
3,2024-04-14 16:30:00,8.3,2.3,0.0
3,2024-04-14 17:00:00,9.7,2.9,-3.1
3,2024-04-14 17:30:00,0.7,4.1,6.9
3,2024-04-14 18:00:00,3.7,3.2,-2.7
3,2024-04-14 18:30:00,12.5,4.2,-2.9
3,2024-04-14 19:00:00,4.4,4.2,-1.3
3,2024-04-14 19:30:00,13.2,5.0,-0.1
3,2024-04-14 20:00:00,13.3,1.0,-2.8
3,2024-04-14 20:30:00,3.5,-1.4,-3.4
3,2024-04-14 21:00:00,3.4,4.8,-12.4
3,2024-04-14 21:30:00,8.6,5.3,0.5
3,2024-04-14 22:00:00,1.8,-9.0,-9.7
3,2024-04-14 22:30:00,2.2,-8.3,-7.3
3,2024-04-14 23:00:00,4.7,-2.9,1.6
3,2024-04-14 23:30:00,0.1,-6.0,-0.8
3,2024-04-15 00:00:00,-12.1,-4.8,-2.5
3,2024-04-15 00:30:00,-4.2,-2.9,0.5
3,2024-04-15 01:00:00,-4.8,-1.7,4.0
3,2024-04-15 01:30:00,-7.0,-2.4,-11.9
3,2024-04-15 02:00:00,-5.7,-3.3,2.3
3,2024-04-15 02:30:00,-2.2,2.2,-1.2
3,2024-04-15 03:00:00,-8.9,6.1,1.5
3,2024-04-15 03:30:00,-1.6,1.7,-1.8
3,2024-04-15 04:00:00,-6.5,0.5,3.4
3,2024-04-15 04:30:00,-3.1,1.6,-3.0
3,2024-04-15 05:00:00,-8.7,3.1,2.5
3,2024-04-15 05:30:00,0.0,2.8,-2.5
3,2024-04-15 06:00:00,4.5,-2.7,-3.4
3,2024-04-15 06:30:00,-1.0,-6.0,-2.0
3,2024-04-15 07:00:00,2.6,-0.5,-2.6
3,2024-04-15 07:30:00,6.7,3.2,11.6
3,2024-04-15 08:00:00,3.1,-3.0,-6.5
3,2024-04-15 08:30:00,-2.9,2.2,-3.8
3,2024-04-15 09:00:00,-3.6,-0.3,2.9
3,2024-04-15 09:30:00,-2.4,6.3,3.9
3,2024-04-15 10:00:00,5.0,3.6,-8.0
3,2024-04-15 10:30:00,-2.8,5.5,4.3
3,2024-04-15 11:00:00,5.3,0.4,-2.4
3,2024-04-15 11:30:00,6.0,4.9,3.2
3,2024-04-15 12:00:00,-4.4,-1.9,-13.8
3,2024-04-15 12:30:00,1.4,-0.9,-1.5
3,2024-04-15 13:00:00,1.6,-2.8,2.5
3,2024-04-15 13:30:00,10.5,10.9,4.1
3,2024-04-15 14:00:00,0.5,-0.3,-0.3
3,2024-04-15 14:30:00,7.9,5.8,1.7
3,2024-04-15 15:00:00,3.7,2.0,0.8
3,2024-04-15 15:30:00,9.4,4.4,-7.9
3,2024-04-15 16:00:00,0.9,-5.2,-1.4
3,2024-04-15 16:30:00,10.1,9.0,-2.0
3,2024-04-15 17:00:00,17.6,-2.2,-9.0
3,2024-04-15 17:30:00,11.5,0.8,-6.7
3,2024-04-15 18:00:00,11.7,1.9,-3.4
3,2024-04-15 18:30:00,17.2,1.7,-3.6
3,2024-04-15 19:00:00,18.2,-1.8,-5.6
3,2024-04-15 19:30:00,15.2,-14.9,-7.6
3,2024-04-15 20:00:00,17.2,9.2,-1.2
3,2024-04-15 20:30:00,17.7,-8.6,-11.6
3,2024-04-15 21:00:00,17.2,-8.9,-4.2
3,2024-04-15 21:30:00,20.1,-8.7,-2.4
3,2024-04-15 22:00:00,0.9,-11.7,-3.9
3,2024-04-15 22:30:00,3.0,-13.5,-10.0
3,2024-04-15 23:00:00,1.8,-9.6,-0.8
3,2024-04-15 23:30:00,-4.1,-14.8,-5.0
3,2024-04-16 00:00:00,-7.9,-11.9,1.2
3,2024-04-16 00:30:00,-0.3,-17.0,-1.7
3,2024-04-16 01:00:00,-7.8,-9.6,3.4
3,2024-04-16 01:30:00,-4.7,-31.0,-4.0
3,2024-04-16 02:00:00,-16.0,-14.7,5.1
3,2024-04-16 02:30:00,-8.0,-11.9,-7.6
3,2024-04-16 03:00:00,-22.8,-22.5,-6.8
3,2024-04-16 03:30:00,-7.5,-25.3,-14.6
3,2024-04-16 04:00:00,-5.2,-16.2,-9.4
3,2024-04-16 04:30:00,-6.5,-14.5,-4.5
3,2024-04-16 05:00:00,-9.4,-13.4,-3.7
3,2024-04-16 05:30:00,-0.7,-16.0,-0.1
